rsn_idx,rsn_name,scale,mean_diff,t,p,n
0,medial_visual,1,-0.2407181558333314,-2.440147669739112,0.24760412168053209,2
0,medial_visual,2,-0.03768597667919299,-2.638133123135016,0.2306612233682494,2
0,medial_visual,3,0.025282918953744682,0.4827111371685721,0.713698653436184,2
0,medial_visual,4,-0.25000828534545694,-0.8655014354104323,0.5458196084188887,2
0,medial_visual,5,0.4246849030474557,2.6287136832540177,0.23141694825401615,2
0,medial_visual,6,0.45073497748896185,13.76102689570246,0.046181342246688795,2
1,occipital_pole,1,-0.6828289470906332,-11.948501565705792,0.053156422777994795,2
1,occipital_pole,2,-0.5644588667558138,-13.650976082738824,0.046552324391269814,2
1,occipital_pole,3,-0.6011710405574356,-43.8002182841291,0.014532100953984833,2
1,occipital_pole,4,-0.11696529353766266,-1.980309737028378,0.2976941666577954,2
1,occipital_pole,5,-0.03480228705645427,-1.8265983558721666,0.318879935450286,2
1,occipital_pole,6,0.14232114890431147,0.46057008583088527,0.7252290735350222,2
2,lateral_visual,1,-0.3278867290541995,-9.664162128100918,0.06564067677471042,2
2,lateral_visual,2,-0.2724808715802093,-3.4176086945873374,0.18121771910520953,2
2,lateral_visual,3,-0.36117029915309795,-12.428303968521815,0.05111326929482604,2
2,lateral_visual,4,0.18250725692906872,1.1232132894938083,0.4630973764312465,2
2,lateral_visual,5,0.16519249709401046,1.004472658347608,0.49857948772625943,2
2,lateral_visual,6,0.19968404816817653,11.579824546752498,0.05484057833913872,2
3,default_mode,1,-0.6020180494701912,-6.2279071640652495,0.10135536090934637,2
3,default_mode,2,-0.5073743656803662,-4.205896867005407,0.14860439966226724,2
3,default_mode,3,-0.2939156006308447,-17.203763568428784,0.03696308844053437,2
3,default_mode,4,-0.3476876978713278,-5.297553536039851,0.11877481237615825,2
3,default_mode,5,0.022773943979238487,0.2826823245916949,0.8246148905617271,2
3,default_mode,6,0.16691660485789855,0.9110880630987166,0.5295969148865123,2
4,cerebellum,1,-0.19666575796185504,-0.7164381868849128,0.6042304716572555,2
4,cerebellum,2,-0.1657823563991182,-0.6381097424087033,0.6384183985498324,2
4,cerebellum,3,-0.44360750409389893,-5.523365118346852,0.11402425328250147,2
4,cerebellum,4,-0.6611323293773681,-18.439851814849956,0.034490341478483455,2
4,cerebellum,5,-0.34962071128661887,-1.919376923638336,0.3057735808995554,2
4,cerebellum,6,-0.2558109955281104,-3.3958553473391064,0.18231631672347529,2
5,sensorimotor,1,-0.4081701991210695,-4.134444256636454,0.1510780415936523,2
5,sensorimotor,2,-0.2550040781040421,-1.1510933135758108,0.4553569954486505,2
5,sensorimotor,3,-0.25469209538040816,-1.3742244360550726,0.4004750188799059,2
5,sensorimotor,4,-0.587320537402251,-0.7343289033969898,0.5967676234251036,2
5,sensorimotor,5,-0.08703611148204238,-0.20131730306811546,0.873527921757378,2
5,sensorimotor,6,0.09720679787900166,0.17267044967699127,0.8911479195857929,2
6,auditory,1,-0.46859447028312723,-3.9456380134849915,0.1580203901811925,2
6,auditory,2,-0.17448932289396435,-1.6738167903804104,0.3428406122021938,2
6,auditory,3,-0.09178051972663298,-0.5133416075011827,0.6980742627774397,2
6,auditory,4,-0.0014498850430582078,-0.010831515088025228,0.9931047129774719,2
6,auditory,5,0.0977204541260207,0.6854482170726461,0.6174597891289599,2
6,auditory,6,0.1328174212064378,0.23810988191470445,0.8511856470233962,2
7,executive_ctrl,1,-0.3503502843648259,-5.895294618048821,0.10696958025419985,2
7,executive_ctrl,2,-0.33039371138201584,-2.172254517788304,0.27465596222512323,2
7,executive_ctrl,3,-0.267418073519698,-4.728210105044491,0.13268752467239128,2
7,executive_ctrl,4,-0.0725337077593069,-0.9781057683295697,0.5070459991917691,2
7,executive_ctrl,5,0.2276609432991748,15.334844150863784,0.04145589348200512,2
7,executive_ctrl,6,0.4300155452720042,4.30718191348214,0.14523126018916008,2
8,right_frontoparietal,1,-0.5572771707103976,-2.2225448313191136,0.26916258866609677,2
8,right_frontoparietal,2,-0.33113819934396344,-2.3857874672525967,0.2526770771773514,2
8,right_frontoparietal,3,-0.3869923989934582,-73.51329658379028,0.008659392781547917,2
8,right_frontoparietal,4,-0.4639614484893446,-1.2667704953753214,0.42542087950725976,2
8,right_frontoparietal,5,-0.1150010689920608,-9.092140502075738,0.06973838997184094,2
8,right_frontoparietal,6,0.07162483505068284,0.7133455840949321,0.6055333973450817,2
9,left_frontoparietal,1,-0.7352789883764439,-8.503878578919409,0.07452004853076279,2
9,left_frontoparietal,2,-0.3984015985440044,-2.2370127355927,0.2676202661368692,2
9,left_frontoparietal,3,-0.2770076045945357,-1.2639271502154534,0.426116787052112,2
9,left_frontoparietal,4,-0.1191505141463019,-0.5436049191944488,0.6830142159416906,2
9,left_frontoparietal,5,0.08425234278219396,0.38478293525185114,0.7661569622887571,2
9,left_frontoparietal,6,0.12945106215843927,0.2657381066947707,0.8346473860163873,2
