condition,model,acc_mean,acc_std,f1_mean,f1_std
entropy_only,LR,0.1875,0.0,0.16666666666666669,1.962615573354719e-17
entropy_only,SVM,0.15625,0.03125,0.13325216450216448,0.042343073593073585
entropy_only,RF,0.25,0.0625,0.23741883116883117,0.0707521645021645
entropy_only,XGB,0.25,0.0625,0.2125686813186813,0.06971153846153846
stats_only,LR,0.15625,0.09375,0.09166666666666667,0.008333333333333338
stats_only,SVM,0.1875,0.0625,0.08333333333333334,0.01666666666666667
stats_only,RF,0.1875,0.0625,0.17142232767232768,0.06346778221778222
stats_only,XGB,0.1875,0.0,0.17737470862470864,0.006920163170163168
spectral_only,LR,0.4375,0.0625,0.4229242979242979,0.08531746031746029
spectral_only,SVM,0.34375,0.09375,0.28439685314685315,0.11901223776223777
spectral_only,RF,0.40625,0.03125,0.408234126984127,0.03462301587301586
spectral_only,XGB,0.3125,0.0625,0.2863782051282051,0.08445512820512821
ent+stats,LR,0.1875,0.0625,0.1125,0.012499999999999997
ent+stats,SVM,0.25,0.0,0.13712121212121214,0.037121212121212124
ent+stats,RF,0.15625,0.03125,0.15773809523809523,0.023809523809523808
ent+stats,XGB,0.21875,0.03125,0.22789502164502165,0.03698593073593073
ent+spec,LR,0.40625,0.03125,0.35943223443223443,0.047619047619047616
ent+spec,SVM,0.21875,0.03125,0.1625180375180375,0.055375180375180376
ent+spec,RF,0.40625,0.09375,0.3860119047619047,0.10128968253968251
ent+spec,XGB,0.3125,0.0,0.3006944444444445,0.025694444444444436
all_features,LR,0.3125,0.0625,0.2181547619047619,0.11815476190476192
all_features,SVM,0.1875,0.0625,0.10277777777777777,0.0027777777777777753
all_features,RF,0.21875,0.03125,0.22023809523809523,0.03869047619047618
all_features,XGB,0.21875,0.09375,0.23819444444444446,0.09930555555555556
